['202', '323', '546', '678', '945', '297', '140', '451', '211', '746', '796', '897', '642', '543', '849', '941', '151', '102', '812', '17']
['179', '674', '806', '368', '58', '144', '817', '15', '777', '290', '201', '45', '20', '871', '445', '859', '558', '30', '585', '476']
['977', '643', '426', '801', '239', '260', '709', '992', '115', '397', '142', '163', '90', '473', '598', '819', '304', '13', '469', '754']
['3', '671', '853', '957', '481', '155', '900', '771', '2', '246', '936', '408', '64', '137', '499', '347', '238', '555', '96', '128']
['515', '692', '156', '889', '381', '973', '209', '765', '422', '387', '932', '110', '595', '47', '71', '648', '109', '261', '701', '428']
['873', '235', '842', '971', '707', '869', '998', '308', '914', '194', '744', '339', '10', '622', '67', '255', '32', '470', '955', '6']
['741', '792', '989', '166', '116', '316', '306', '875', '8', '768', '219', '455', '285', '784', '484', '854', '580', '478', '197', '867']
['396', '634', '427', '183', '893', '821', '999', '981', '749', '153', '553', '912', '16', '174', '559', '63', '876', '354', '726', '839']
['655', '560', '963', '737', '512', '477', '228', '376', '391', '590', '199', '365', '293', '723', '367', '904', '752', '73', '107', '369']
['390', '56', '406', '403', '938', '731', '266', '498', '677', '526', '242', '698', '172', '697', '65', '578', '548', '554', '782', '195']
['243', '421', '148', '733', '93', '454', '456', '225', '840', '379', '721', '395', '138', '405', '231', '925', '213', '307', '436', '805']
['609', '703', '42', '249', '504', '774', '357', '762', '965', '708', '208', '486', '604', '377', '150', '230', '271', '215', '507', '485']
['848', '22', '644', '292', '613', '461', '105', '531', '168', '386', '265', '804', '447', '364', '298', '858', '89', '400', '78', '83']
['662', '967', '975', '917', '879', '492', '627', '21', '712', '458', '127', '657', '257', '250', '253', '193', '828', '872', '587', '415']
['312', '910', '785', '795', '632', '654', '229', '338', '794', '319', '270', '909', '901', '301', '685', '959', '888', '37', '718', '19']
['647', '997', '430', '355', '330', '227', '76', '787', '611', '857', '345', '337', '714', '881', '328', '466', '132', '928', '719', '372']
['518', '770', '450', '573', '25', '974', '670', '589', '203', '119', '751', '773', '133', '178', '725', '382', '921', '916', '254', '970']
['601', '856', '961', '960', '207', '790', '636', '511', '756', '527', '625', '525', '123', '315', '612', '832', '815', '845', '288', '664']
['788', '577', '676', '628', '433', '305', '911', '618', '605', '510', '906', '248', '905', '384', '556', '446', '457', '663', '221', '86']
['891', '310', '327', '463', '903', '682', '258', '483', '786', '205', '506', '460', '111', '520', '783', '322', '516', '425', '766', '336']
['161', '443', '407', '533', '947', '380', '439', '170', '537', '530', '747', '223', '401', '837', '363', '423', '711', '650', '835', '49']
