['681', '130', '260', '559', '203', '708']
['346', '400', '491', '388', '666', '423']
['625', '562', '416', '85', '263', '250']
['38', '452', '390', '78', '383', '186']
['481', '474', '140', '277', '216', '76']
['523', '494', '575', '455', '194', '97']
['410', '412', '620', '234', '712', '28']
['163', '554', '280', '526', '656', '610']
['68', '695', '360', '487', '555', '713']
['268', '93', '567', '368', '47', '389']
['165', '274', '415', '84', '636', '660']
['522', '141', '709', '589', '508', '671']
['419', '282', '478', '642', '77', '583']
['222', '7', '503', '626', '232', '242']
['255', '26', '331', '230', '525', '21']
['98', '364', '701', '228', '657', '513']
['350', '281', '392', '112', '146', '96']
['297', '83', '462', '451', '264', '570']
['552', '714', '329', '640', '680', '139']
['245', '357', '488', '119', '54', '49']
['183', '291', '643', '577', '477', '46']
['75', '674', '294', '719', '136', '366']
['8', '340', '257', '534', '148', '193']
['219', '355', '687', '648', '439', '356']
['409', '464', '106', '475', '576', '324']
['637', '39', '683', '541', '310', '305']
['338', '705', '405', '384', '60', '652']
['55', '337', '707', '116', '6', '453']
['210', '367', '448', '704', '645', '244']
['518', '417', '433', '407', '507', '133']
['127', '699', '638', '295', '592', '197']
['495', '20', '36', '535', '14', '684']
['647', '74', '126', '557', '168', '272']
['593', '624', '572', '510', '644', '283']
['256', '70', '397', '16', '207', '342']
['10', '427', '223', '285', '381', '114']
['198', '457', '585', '153', '296', '698']
['436', '111', '542', '506', '632', '173']
['622', '613', '594', '502', '470', '336']
['379', '80', '601', '691', '347', '343']
['664', '618', '527', '659', '95', '170']
['246', '650', '293', '492', '238', '188']
['579', '603', '406', '62', '560', '496']
['151', '278', '385', '138', '564', '307']
['189', '34', '299', '147', '22', '33']
['164', '587', '192', '590', '229', '512']
['711', '598', '665', '498', '200', '137']
['53', '289', '258', '432', '150', '469']
['115', '651', '249', '154', '425', '131']
['663', '167', '524', '218', '509', '92']
['44', '550', '359', '532', '653', '399']
['486', '88', '706', '252', '319', '677']
['160', '176', '633', '602', '162', '380']
['697', '185', '91', '627', '155', '1']
['476', '374', '175', '582', '125', '545']
['580', '212', '515', '440', '547', '668']
['67', '370', '574', '418', '378', '629']
['623', '303', '458', '214', '145', '430']
['376', '300', '317', '332', '0', '86']
['149', '533', '201', '108', '51', '431']
['323', '5', '174', '420', '408', '538']
['391', '414', '59', '597', '718', '261']
['71', '521', '181', '655', '262', '182']
['549', '196', '226', '318', '686', '221']
['361', '312', '563', '288', '316', '504']
['253', '99', '716', '82', '689', '511']
['404', '284', '435', '61', '437', '386']
['202', '482', '269', '544', '48', '362']
['530', '614', '40', '231', '41', '679']
['121', '235', '4', '604', '595', '241']
['352', '441', '152', '600', '490', '179']
['144', '3', '184', '438', '24', '635']
['667', '479', '676', '123', '395', '273']
['58', '142', '609', '566', '426', '89']
['208', '421', '649', '669', '275', '213']
['581', '658', '551', '693', '267', '471']
['13', '195', '468', '110', '584', '247']
['31', '561', '204', '344', '703', '480']
['206', '605', '265', '243', '411', '700']
['715', '17', '654', '190', '304', '209']
['621', '57', '109', '466', '467', '422']
['690', '365', '685', '615', '459', '161']
['501', '348', '270', '424', '429', '588']
['434', '52', '661', '217', '413', '100']
['211', '37', '298', '334', '240', '401']
['73', '702', '591', '302', '630', '339']
['377', '363', '311', '205', '641', '237']
['11', '461', '322', '72', '675', '696']
['578', '325', '500', '9', '445', '447']
['531', '446', '124', '45', '403', '266']
['129', '18', '69', '42', '485', '113']
['556', '225', '516', '259', '371', '606']
['29', '375', '227', '571', '692', '465']
['393', '450', '79', '327', '326', '670']
['402', '103', '63', '456', '330', '349']
['180', '187', '335', '19', '220', '354']
['292', '233', '122', '135', '313', '539']
['101', '499', '94', '398', '320', '540']
['628', '104', '12', '612', '224', '483']
['345', '596', '215', '537', '514', '382']
['444', '673', '497', '290', '341', '158']
['15', '102', '87', '239', '117', '616']
['169', '107', '548', '128', '442', '568']
['565', '558', '639', '369', '373', '315']
['607', '543', '505', '619', '553', '30']
['276', '428', '25', '463', '177', '489']
['717', '387', '573', '353', '50', '599']
['634', '569', '35', '254', '536', '279']
['662', '157', '118', '678', '199', '528']
['301', '166', '449', '519', '546', '248']
['314', '617', '43', '236', '396', '472']
['178', '143', '56', '191', '159', '517']
['321', '529', '271', '308', '672', '120']
['309', '81', '286', '646', '520', '608']
['66', '306', '372', '27', '710', '287']
['493', '156', '171', '694', '23', '484']
['358', '132', '473', '611', '631', '64']
['443', '460', '586', '328', '172', '251']
['105', '682', '394', '90', '32', '454']
['351', '688', '333', '134', '2', '65']
