['436', '154', '387', '39', '120', '212', '560', '636', '186', '384', '306', '846', '64', '103', '431', '503', '826', '821', '89', '121', '127', '728', '518', '567', '397', '743', '144', '847', '314', '33', '472', '683', '227', '209', '57']
['357', '817', '710', '458', '809', '300', '690', '235', '379', '343', '507', '132', '796', '521', '855', '378', '475', '206', '286', '175', '812', '383', '443', '124', '574', '546', '513', '775', '69', '158', '347', '115', '476', '285', '205']
['434', '564', '763', '613', '800', '664', '70', '185', '684', '705', '238', '321', '829', '395', '746', '372', '791', '852', '508', '687', '112', '22', '142', '483', '60', '252', '667', '141', '366', '171', '192', '271', '550', '473', '566']
['629', '654', '225', '161', '698', '437', '146', '559', '602', '510', '59', '245', '670', '338', '231', '88', '274', '439', '582', '639', '780', '634', '95', '18', '137', '278', '119', '201', '403', '86', '688', '148', '640', '725', '669']
['307', '17', '712', '570', '246', '318', '265', '463', '484', '236', '354', '342', '534', '219', '290', '174', '575', '258', '619', '465', '578', '573', '631', '7', '369', '680', '4', '402', '1', '196', '254', '652', '420', '730', '653']
['360', '341', '296', '80', '766', '470', '545', '126', '569', '237', '851', '666', '152', '73', '198', '512', '194', '289', '642', '530', '477', '708', '782', '362', '617', '655', '756', '832', '679', '312', '520', '486', '623', '736', '287']
['464', '122', '68', '324', '417', '411', '779', '747', '831', '489', '147', '234', '597', '823', '744', '450', '704', '638', '551', '316', '117', '423', '228', '614', '524', '381', '499', '180', '302', '326', '260', '447', '819', '330']
['113', '802', '495', '79', '491', '446', '305', '128', '29', '6', '168', '845', '345', '797', '419', '164', '428', '167', '243', '479', '11', '350', '783', '136', '410', '2', '328', '813', '493', '723', '798', '815', '840', '149']
['224', '535', '700', '386', '442', '502', '691', '739', '781', '720', '741', '772', '675', '257', '14', '754', '601', '226', '281', '660', '818', '694', '270', '558', '349', '308', '327', '553', '210', '37', '355', '36', '256', '106']
['222', '107', '87', '776', '200', '292', '240', '255', '393', '162', '727', '5', '197', '213', '482', '645', '453', '825', '788', '218', '695', '488', '92', '45', '633', '413', '51', '84', '310', '593', '563', '576', '657', '454']
['26', '527', '31', '850', '253', '848', '34', '674', '677', '635', '662', '643', '589', '511', '331', '468', '250', '242', '353', '621', '531', '309', '532', '579', '590', '400', '269', '98', '156', '108', '799', '697', '339', '279']
['432', '377', '359', '134', '456', '65', '843', '214', '114', '277', '184', '160', '529', '641', '169', '501', '497', '130', '370', '249', '478', '43', '21', '556', '580', '414', '721', '178', '389', '672', '189', '332', '661', '81']
['13', '451', '83', '768', '58', '610', '709', '406', '248', '157', '409', '692', '565', '76', '588', '272', '764', '678', '490', '405', '440', '55', '283', '724', '853', '52', '755', '313', '105', '44', '422', '522', '448', '131']
['424', '673', '303', '16', '648', '770', '91', '177', '703', '795', '430', '702', '572', '315', '151', '220', '28', '217', '438', '267', '363', '444', '784', '761', '509', '808', '24', '514', '611', '63', '790', '233', '581', '394']
['676', '833', '658', '729', '346', '159', '207', '459', '191', '140', '102', '751', '94', '118', '538', '385', '591', '125', '48', '630', '665', '541', '199', '466', '586', '828', '356', '836', '351', '830', '143', '54', '682', '606']
['480', '787', '587', '427', '110', '628', '765', '334', '275', '748', '726', '416', '844', '516', '835', '374', '293', '67', '441', '85', '182', '803', '793', '78', '540', '56', '38', '500', '668', '230', '707', '552', '750', '598']
['429', '99', '789', '769', '264', '632', '498', '814', '496', '822', '408', '583', '93', '506', '232', '612', '109', '626', '773', '585', '165', '713', '452', '373', '651', '391', '97', '689', '74', '758', '111', '399', '774', '528']
['96', '494', '663', '317', '32', '179', '525', '412', '129', '771', '811', '47', '42', '624', '155', '557', '719', '170', '323', '485', '445', '599', '365', '716', '627', '777', '481', '717', '834', '838', '100', '542', '418', '548']
['138', '133', '145', '371', '620', '539', '577', '740', '8', '335', '693', '786', '3', '461', '75', '23', '396', '492', '646', '523', '603', '77', '533', '41', '526', '150', '685', '421', '474', '273', '767', '425', '696', '251']
['732', '276', '340', '714', '392', '849', '12', '785', '66', '426', '40', '792', '738', '608', '718', '221', '325', '229', '364', '839', '801', '358', '297', '53', '554', '404', '348', '517', '187', '247', '462', '504', '544', '82']
['19', '715', '595', '319', '604', '202', '27', '375', '804', '637', '644', '333', '625', '671', '123', '390', '183', '701', '266', '163', '15', '344', '837', '241', '382', '752', '239', '259', '805', '737', '810', '807', '760', '600']
['380', '681', '280', '72', '166', '562', '757', '457', '50', '469', '699', '10', '71', '9', '304', '299', '193', '30', '188', '376', '153', '592', '561', '388', '722', '519', '211', '735', '244', '806', '35', '778', '656', '337']
['596', '208', '622', '139', '190', '455', '49', '854', '368', '731', '609', '471', '263', '215', '615', '711', '650', '594', '549', '261', '536', '505', '659', '46', '104', '742', '433', '195', '135', '116', '322', '841', '555', '794']
['749', '20', '415', '759', '584', '401', '547', '101', '571', '268', '706', '172', '816', '295', '605', '686', '61', '568', '361', '435', '607', '284', '616', '449', '487', '398', '824', '827', '336', '537', '62', '320', '203', '460']
['173', '311', '734', '367', '820', '216', '204', '649', '407', '745', '753', '288', '762', '90', '618', '647', '515', '223', '329', '0', '181', '733', '294', '25', '262', '352', '467', '301', '176', '543', '291', '298', '842', '282']
