['586', '692', '801', '646', '406', '834', '362', '637', '465', '433', '30', '177', '6', '506', '301', '206', '923', '50', '903', '479', '758', '425', '333', '885', '686', '544', '126', '85', '726', '669', '626']
['808', '601', '407', '239', '536', '711', '674', '651', '367', '240', '589', '688', '509', '23', '874', '724', '557', '83', '492', '37', '450', '104', '864', '158', '653', '74', '217', '852', '919', '687', '150']
['56', '833', '86', '435', '228', '565', '730', '34', '45', '427', '944', '721', '912', '138', '955', '205', '287', '945', '563', '795', '633', '866', '226', '322', '534', '124', '73', '131', '822', '415', '68']
['323', '207', '179', '540', '209', '403', '388', '821', '216', '214', '211', '771', '644', '376', '267', '767', '29', '722', '660', '237', '578', '602', '151', '695', '344', '334', '661', '111', '234', '809', '595']
['391', '244', '303', '710', '467', '504', '524', '71', '25', '40', '681', '704', '543', '236', '719', '257', '459', '185', '326', '564', '800', '316', '19', '835', '596', '361', '448', '547', '541', '24', '129']
['777', '341', '906', '756', '466', '636', '806', '26', '868', '867', '960', '776', '168', '261', '805', '54', '319', '555', '271', '895', '494', '539', '35', '604', '52', '924', '826', '31', '668', '67', '675']
['858', '392', '430', '803', '164', '282', '665', '434', '125', '101', '774', '147', '877', '698', '642', '349', '405', '849', '837', '328', '925', '283', '12', '838', '342', '400', '130', '853', '734', '954', '484']
['159', '559', '380', '253', '617', '662', '513', '545', '378', '738', '714', '510', '39', '573', '215', '351', '939', '841', '605', '186', '280', '18', '365', '123', '167', '959', '311', '880', '615', '139', '659']
['266', '650', '381', '512', '63', '616', '732', '443', '285', '461', '227', '55', '648', '498', '127', '909', '816', '72', '747', '22', '620', '347', '937', '949', '113', '175', '921', '739', '133', '117', '350']
['789', '235', '515', '798', '225', '220', '863', '212', '157', '398', '927', '16', '608', '449', '788', '59', '696', '447', '193', '89', '780', '102', '314', '294', '371', '929', '663', '610', '755', '735', '366']
['4', '779', '95', '386', '390', '299', '332', '474', '619', '666', '281', '373', '764', '753', '897', '716', '591', '718', '395', '375', '814', '452', '580', '530', '355', '463', '956', '79', '196', '330', '210']
['13', '694', '335', '43', '250', '664', '533', '907', '438', '553', '635', '14', '913', '232', '599', '501', '134', '920', '195', '953', '948', '298', '904', '223', '51', '160', '273', '551', '680', '163', '618']
['32', '628', '791', '304', '893', '44', '194', '441', '200', '723', '110', '671', '558', '155', '772', '324', '468', '943', '552', '917', '854', '493', '146', '41', '941', '132', '249', '860', '358', '165', '33']
['486', '291', '495', '224', '911', '270', '766', '413', '888', '293', '87', '475', '890', '69', '583', '428', '143', '575', '329', '5', '488', '436', '339', '476', '763', '811', '952', '229', '472', '542', '825']
['197', '260', '457', '471', '176', '827', '286', '114', '187', '526', '703', '940', '252', '881', '20', '908', '307', '882', '497', '799', '891', '566', '221', '729', '363', '658', '693', '902', '429', '576', '161']
['248', '842', '477', '957', '560', '584', '706', '807', '38', '947', '36', '445', '172', '199', '379', '94', '614', '782', '454', '230', '290', '517', '317', '532', '587', '174', '369', '58', '727', '289', '456']
['404', '845', '15', '568', '181', '744', '346', '762', '569', '588', '272', '119', '622', '914', '8', '485', '537', '337', '567', '850', '781', '786', '327', '302', '263', '935', '81', '612', '66', '749', '254']
['3', '783', '655', '455', '115', '140', '451', '383', '182', '47', '629', '21', '320', '432', '92', '936', '958', '857', '312', '483', '184', '473', '905', '46', '173', '728', '444', '49', '742', '600', '590']
['752', '421', '817', '546', '844', '305', '639', '846', '638', '482', '90', '97', '246', '458', '855', '256', '848', '778', '84', '420', '810', '561', '148', '411', '898', '453', '251', '667', '649', '869', '469']
['519', '577', '870', '345', '886', '733', '624', '708', '751', '592', '745', '487', '754', '423', '154', '384', '760', '364', '894', '446', '144', '296', '529', '353', '180', '382', '572', '813', '489', '793', '699']
['930', '171', '137', '491', '310', '715', '356', '300', '502', '731', '951', '387', '153', '679', '606', '99', '511', '705', '775', '784', '11', '414', '720', '856', '128', '340', '53', '17', '62', '399', '645']
['641', '697', '42', '426', '678', '389', '397', '258', '116', '582', '412', '360', '10', '348', '57', '418', '820', '318', '527', '462', '243', '773', '402', '830', '840', '60', '878', '631', '673', '521', '233']
['121', '531', '740', '120', '478', '241', '689', '204', '621', '295', '790', '796', '829', '238', '625', '630', '499', '262', '647', '306', '440', '570', '851', '401', '247', '520', '437', '189', '259', '652', '321']
['352', '490', '514', '761', '516', '142', '393', '611', '884', '676', '598', '859', '242', '875', '439', '431', '91', '896', '748', '231', '933', '9', '656', '507', '938', '77', '82', '812', '279', '496', '409']
['424', '737', '672', '354', '785', '183', '112', '865', '682', '932', '28', '770', '900', '162', '750', '276', '103', '219', '657', '264', '554', '76', '170', '946', '118', '725', '336', '741', '594', '410', '640']
['632', '571', '0', '156', '385', '883', '713', '607', '685', '1', '481', '208', '278', '899', '408', '505', '464', '396', '743', '394', '109', '265', '769', '178', '7', '508', '460', '122', '550', '315', '190']
['581', '643', '65', '331', '61', '910', '135', '105', '201', '709', '309', '27', '613', '861', '585', '528', '717', '149', '106', '96', '268', '887', '928', '222', '839', '98', '88', '670', '847', '518', '623']
['712', '288', '338', '792', '416', '765', '75', '275', '100', '556', '2', '538', '654', '934', '876', '872', '768', '377', '579', '522', '535', '818', '136', '901', '691', '274', '677', '757', '269', '843', '277']
['562', '836', '292', '48', '169', '297', '357', '950', '417', '701', '368', '574', '831', '548', '683', '191', '419', '325', '213', '889', '871', '343', '603', '203', '746', '942', '313', '916', '794', '372', '609']
['470', '503', '202', '549', '597', '442', '500', '862', '370', '284', '802', '245', '797', '141', '915', '684', '759', '359', '64', '690', '107', '823', '707', '523', '70', '873', '593', '824', '108', '832', '80']
['152', '634', '702', '78', '308', '93', '736', '627', '374', '819', '700', '255', '198', '892', '922', '166', '918', '804', '879', '815', '787', '828', '480', '145', '192', '931', '218', '525', '188', '422', '926']
