['56', '531', '498', '568', '471', '407', '777', '702', '687', '187', '789', '242', '604', '392', '198', '754', '191', '758', '717', '338', '403', '720', '36', '517', '102', '98', '669', '206', '160', '234', '50', '259']
['13', '94', '323', '546', '678', '260', '705', '711', '650', '771', '266', '683', '208', '622', '267', '530', '688', '423', '167', '54', '106', '170', '213', '179', '73', '294', '358', '95', '515', '62', '133', '58']
['32', '421', '280', '335', '477', '616', '425', '190', '204', '246', '168', '660', '697', '428', '559', '127', '263', '748', '535', '177', '184', '488', '35', '675', '482', '173', '534', '311', '81', '658', '163', '247']
['547', '409', '737', '53', '166', '573', '12', '356', '391', '357', '751', '567', '4', '487', '631', '349', '610', '84', '325', '799', '452', '24', '453', '539', '372', '180', '596', '374', '653', '222', '677', '551']
['436', '310', '495', '740', '478', '499', '43', '689', '216', '412', '283', '796', '627', '40', '51', '318', '256', '647', '548', '237', '781', '523', '261', '251', '633', '401', '355', '388', '113', '615', '693', '7']
['144', '207', '402', '101', '785', '228', '624', '44', '441', '582', '473', '39', '161', '432', '741', '255', '619', '575', '696', '328', '469', '609', '743', '268', '135', '178', '593', '353', '289', '448', '466', '276']
['28', '341', '15', '171', '380', '137', '440', '181', '766', '378', '451', '157', '373', '14', '510', '644', '719', '464', '666', '306', '6', '595', '580', '27', '155', '41', '340', '417', '382', '399', '794', '735']
['706', '679', '540', '63', '376', '560', '635', '639', '730', '99', '607', '220', '446', '589', '379', '149', '233', '618', '150', '264', '778', '72', '186', '85', '312', '77', '529', '82', '600', '210', '19', '755']
['470', '42', '162', '2', '536', '308', '282', '87', '651', '316', '10', '671', '681', '411', '625', '690', '337', '366', '238', '468', '773', '665', '570', '109', '532', '321', '218', '525', '652', '437', '165', '189']
['97', '555', '426', '662', '305', '500', '461', '638', '116', '708', '387', '333', '320', '199', '96', '780', '431', '455', '285', '588', '231', '201', '447', '507', '695', '314', '371', '768', '508', '475', '185', '521']
['501', '3', '643', '577', '381', '245', '169', '752', '516', '385', '258', '194', '284', '749', '430', '774', '342', '408', '637', '107', '375', '393', '126', '703', '326', '352', '413', '146', '334', '450', '49', '69']
['434', '732', '406', '66', '538', '443', '300', '590', '100', '34', '45', '506', '164', '728', '581', '29', '714', '154', '553', '20', '602', '564', '295', '724', '429', '317', '699', '158', '348', '229', '68', '721']
['239', '80', '646', '78', '112', '75', '362', '176', '140', '370', '182', '787', '275', '613', '172', '511', '65', '143', '614', '236', '462', '9', '726', '497', '301', '782', '384', '670', '718', '765', '496', '404']
['110', '692', '549', '225', '491', '389', '209', '798', '277', '105', '519', '104', '522', '141', '30', '262', '377', '608', '395', '483', '579', '776', '747', '70', '248', '347', '274', '103', '422', '727', '518', '514']
['11', '558', '156', '212', '672', '331', '617', '250', '744', '533', '152', '490', '569', '343', '611', '753', '369', '445', '439', '297', '640', '762', '398', '136', '367', '46', '587', '55', '612', '761', '131', '361']
['578', '571', '484', '61', '565', '346', '504', '211', '685', '456', '742', '442', '716', '119', '486', '505', '418', '396', '691', '713', '641', '621', '298', '493', '603', '645', '279', '123', '90', '626', '472', '793']
['249', '503', '219', '674', '76', '710', '332', '243', '227', '489', '293', '723', '636', '92', '786', '16', '528', '449', '91', '657', '59', '195', '205', '563', '339', '174', '313', '673', '686', '330', '520', '151']
['315', '592', '304', '416', '299', '397', '360', '770', '281', '419', '745', '1', '676', '240', '153', '628', '599', '351', '775', '324', '319', '420', '23', '394', '296', '566', '632', '159', '122', '594', '31', '415']
['576', '270', '202', '286', '630', '86', '365', '479', '663', '115', '545', '731', '465', '71', '148', '591', '788', '554', '544', '454', '680', '5', '128', '290', '509', '83', '667', '661', '221', '363', '623', '739']
['444', '791', '783', '108', '715', '649', '25', '550', '736', '746', '790', '513', '784', '359', '557', '196', '329', '769', '271', '585', '364', '541', '265', '132', '192', '725', '700', '764', '124', '410', '698', '542']
['492', '779', '694', '386', '512', '253', '345', '494', '241', '750', '200', '142', '424', '458', '269', '438', '485', '134', '292', '459', '668', '605', '561', '22', '197', '118', '52', '322', '17', '460', '79', '254']
['634', '457', '733', '792', '756', '709', '664', '586', '303', '93', '145', '114', '481', '597', '606', '215', '476', '704', '763', '111', '707', '760', '121', '203', '598', '350', '64', '467', '572', '57', '217', '117']
['8', '601', '368', '183', '224', '682', '414', '125', '797', '433', '526', '712', '583', '537', '252', '405', '244', '214', '656', '327', '302', '193', '67', '400', '130', '648', '60', '620', '88', '729', '232', '287']
['21', '336', '291', '288', '435', '48', '307', '584', '474', '738', '147', '47', '278', '684', '759', '33', '722', '543', '527', '257', '344', '562', '0', '89', '659', '574', '139', '556', '273', '18', '188', '772']
['654', '235', '309', '272', '354', '390', '629', '129', '502', '383', '524', '38', '427', '701', '642', '767', '463', '138', '120', '230', '175', '552', '795', '480', '223', '226', '37', '26', '757', '74', '655', '734']
