['336', '973', '724']
['182', '533', '78']
['121', '790', '100']
['789', '50', '373']
['479', '325', '950']
['531', '652', '488']
['843', '450', '322']
['706', '606', '951']
['178', '415', '860']
['863', '425', '820']
['968', '349', '396']
['825', '39', '949']
['735', '476', '638']
['304', '586', '890']
['66', '317', '10']
['329', '259', '945']
['713', '380', '787']
['668', '473', '524']
['834', '862', '342']
['441', '593', '426']
['386', '699', '698']
['670', '898', '678']
['31', '391', '871']
['253', '266', '217']
['216', '32', '515']
['734', '371', '468']
['139', '547', '496']
['439', '742', '560']
['768', '930', '644']
['54', '398', '80']
['542', '631', '440']
['224', '175', '664']
['320', '424', '573']
['996', '28', '846']
['829', '208', '104']
['985', '119', '200']
['545', '284', '656']
['505', '964', '487']
['681', '155', '418']
['109', '163', '528']
['791', '239', '544']
['293', '268', '827']
['454', '315', '518']
['497', '675', '339']
['852', '165', '844']
['381', '991', '927']
['147', '341', '229']
['740', '565', '370']
['695', '727', '548']
['328', '125', '2']
['628', '8', '669']
['482', '423', '287']
['785', '933', '3']
['55', '366', '581']
['437', '133', '97']
['712', '1', '776']
['939', '700', '576']
['921', '811', '331']
['859', '134', '68']
['537', '840', '870']
['480', '95', '701']
['959', '756', '814']
['491', '766', '522']
['462', '442', '101']
['999', '613', '138']
['884', '135', '313']
['657', '463', '19']
['376', '754', '444']
['714', '866', '803']
['646', '793', '92']
['666', '335', '805']
['626', '300', '615']
['56', '957', '842']
['152', '977', '637']
['159', '654', '685']
['71', '833', '601']
['632', '409', '872']
['13', '420', '818']
['150', '888', '838']
['248', '168', '745']
['29', '318', '653']
['903', '725', '485']
['752', '273', '493']
['519', '222', '979']
['992', '807', '607']
['530', '251', '682']
['122', '51', '16']
['94', '489', '948']
['641', '970', '261']
['769', '116', '722']
['667', '561', '353']
['687', '971', '62']
['42', '517', '892']
['64', '183', '743']
['975', '400', '65']
['781', '634', '709']
['76', '716', '916']
['465', '207', '179']
['625', '905', '126']
['874', '683', '181']
['206', '433', '265']
['721', '941', '219']
['755', '490', '875']
['24', '717', '108']
['356', '153', '392']
['886', '848', '308']
['275', '91', '430']
['831', '369', '746']
['481', '910', '286']
['690', '758', '808']
['434', '447', '510']
['459', '589', '457']
['946', '645', '124']
['87', '202', '52']
['839', '309', '849']
['213', '79', '759']
['774', '751', '744']
['595', '887', '212']
['211', '526', '812']
['897', '630', '995']
['703', '77', '327']
['257', '128', '821']
['696', '532', '74']
['578', '503', '469']
