['79', '256', '368', '283', '40', '545', '216']
['179', '351', '75', '345', '385', '275', '146']
['665', '421', '173', '262', '580', '115', '493']
['154', '285', '549', '670', '562', '649', '441']
['516', '84', '620', '502', '266', '217', '361']
['507', '347', '201', '274', '324', '91', '271']
['655', '94', '34', '357', '88', '427', '363']
['499', '679', '223', '6', '253', '648', '364']
['178', '337', '643', '322', '33', '551', '425']
['344', '314', '334', '123', '566', '71', '555']
['346', '417', '149', '629', '561', '669', '261']
['163', '412', '55', '646', '61', '353', '85']
['467', '627', '611', '321', '106', '9', '278']
['608', '3', '150', '306', '49', '632', '596']
['444', '291', '333', '578', '57', '530', '468']
['15', '284', '126', '396', '101', '311', '17']
['232', '279', '137', '442', '680', '485', '658']
['423', '142', '143', '148', '190', '350', '576']
['309', '511', '128', '27', '505', '69', '397']
['66', '697', '495', '588', '366', '81', '402']
['134', '116', '481', '429', '457', '212', '389']
['570', '191', '320', '486', '277', '214', '522']
['210', '340', '313', '11', '589', '668', '298']
['230', '473', '641', '226', '482', '139', '687']
['592', '451', '603', '28', '393', '483', '172']
['583', '119', '636', '639', '408', '1', '464']
['691', '377', '295', '426', '676', '356', '203']
['599', '104', '585', '185', '695', '109', '54']
['56', '692', '82', '597', '63', '20', '159']
['404', '243', '613', '515', '568', '358', '60']
['239', '559', '62', '192', '5', '122', '418']
['110', '138', '474', '315', '432', '518', '415']
['445', '25', '195', '477', '78', '270', '469']
['513', '409', '222', '498', '463', '58', '458']
['205', '615', '176', '29', '406', '105', '399']
['161', '48', '92', '517', '604', '582', '542']
['550', '645', '403', '684', '246', '500', '617']
['638', '478', '112', '245', '287', '387', '224']
['121', '490', '252', '238', '683', '564', '565']
['24', '674', '642', '506', '391', '187', '258']
['675', '171', '198', '8', '32', '598', '510']
['74', '44', '587', '219', '470', '539', '290']
['635', '492', '157', '301', '197', '86', '132']
['117', '508', '300', '601', '329', '660', '235']
['294', '318', '509', '98', '554', '199', '302']
['401', '476', '567', '450', '152', '487', '497']
['461', '236', '537', '188', '352', '647', '590']
['229', '654', '384', '319', '430', '96', '147']
['286', '225', '156', '19', '667', '494', '168']
['614', '90', '631', '97', '535', '228', '108']
['323', '167', '373', '440', '213', '332', '392']
['129', '80', '644', '289', '221', '437', '259']
['372', '618', '7', '354', '141', '160', '330']
['612', '571', '637', '166', '447', '656', '326']
['193', '489', '317', '174', '30', '189', '282']
['532', '400', '503', '405', '249', '170', '663']
['382', '355', '678', '247', '699', '480', '626']
['472', '182', '659', '335', '593', '26', '303']
['547', '394', '59', '133', '175', '37', '102']
['591', '407', '672', '471', '64', '120', '83']
['365', '548', '688', '338', '42', '436', '686']
['682', '272', '523', '563', '370', '118', '540']
['456', '130', '577', '694', '220', '605', '72']
['53', '533', '666', '698', '35', '124', '623']
['263', '543', '531', '685', '341', '386', '496']
['165', '177', '466', '640', '0', '624', '93']
['431', '527', '23', '501', '633', '379', '281']
['462', '196', '264', '244', '465', '375', '657']
['369', '87', '424', '310', '208', '273', '609']
['448', '524', '560', '380', '625', '673', '339']
['293', '671', '411', '114', '581', '307', '215']
['248', '410', '46', '443', '13', '153', '95']
['661', '296', '453', '367', '51', '579', '331']
['689', '21', '327', '420', '206', '151', '362']
['348', '630', '449', '45', '475', '452', '619']
['595', '512', '374', '10', '455', '529', '376']
['240', '622', '233', '616', '479', '218', '696']
['446', '435', '349', '557', '38', '520', '383']
['419', '594', '454', '136', '99', '260', '525']
['484', '342', '67', '299', '267', '65', '265']
['22', '255', '546', '194', '459', '491', '14']
['183', '664', '395', '428', '155', '416', '602']
['135', '16', '209', '50', '521', '390', '70']
['18', '526', '158', '127', '211', '140', '381']
['558', '186', '398', '131', '73', '574', '2']
['242', '538', '200', '77', '52', '269', '308']
['254', '610', '316', '650', '268', '575', '606']
['164', '41', '584', '36', '556', '280', '528']
['125', '336', '586', '162', '434', '234', '231']
['250', '569', '534', '378', '180', '677', '413']
['544', '202', '621', '572', '292', '422', '89']
['681', '207', '47', '552', '553', '360', '251']
['519', '651', '31', '439', '628', '111', '600']
['144', '103', '312', '184', '514', '100', '288']
['76', '573', '43', '504', '536', '488', '204']
['4', '328', '107', '359', '169', '388', '414']
['68', '237', '690', '12', '297', '145', '460']
['305', '181', '433', '371', '276', '325', '438']
['607', '662', '541', '227', '343', '652', '653']
['304', '113', '257', '39', '634', '241', '693']
