['355', '56', '737', '272', '307', '116', '323', '159', '367', '71', '589', '632', '681', '13', '537', '91', '150', '344', '151', '248', '466', '480', '435', '661', '363', '361', '547', '404', '202', '630']
['341', '391', '687', '246', '558', '242', '470', '238', '166', '179', '197', '347', '529', '192', '460', '577', '520', '65', '484', '416', '299', '647', '519', '427', '530', '366', '94', '575', '329', '641']
['691', '14', '613', '456', '339', '153', '263', '32', '549', '455', '660', '213', '452', '703', '260', '390', '444', '565', '346', '136', '182', '245', '668', '9', '157', '398', '280', '563', '50', '684']
['273', '4', '721', '579', '24', '556', '491', '689', '588', '748', '321', '173', '667', '174', '631', '700', '234', '229', '189', '266', '42', '499', '744', '300', '533', '446', '76', '208', '648', '215']
['201', '31', '688', '269', '237', '738', '121', '602', '23', '677', '176', '368', '639', '194', '36', '164', '625', '581', '469', '712', '704', '718', '143', '168', '478', '128', '107', '123', '206', '422']
['569', '254', '574', '454', '144', '615', '424', '723', '316', '707', '319', '8', '562', '327', '724', '111', '729', '475', '117', '250', '253', '715', '584', '100', '621', '275', '97', '99', '267', '152']
['539', '196', '742', '437', '360', '95', '51', '340', '568', '78', '711', '284', '373', '481', '716', '394', '690', '501', '462', '459', '126', '41', '508', '741', '348', '62', '516', '239', '291', '701']
['709', '634', '514', '432', '543', '608', '3', '73', '664', '434', '523', '35', '155', '38', '322', '53', '79', '576', '163', '218', '110', '595', '211', '676', '274', '433', '683', '722', '377', '236']
['57', '140', '746', '328', '503', '219', '216', '244', '488', '87', '146', '605', '678', '115', '545', '694', '243', '145', '515', '396', '257', '555', '535', '148', '314', '27', '401', '453', '650', '531']
['383', '728', '64', '479', '412', '11', '271', '268', '193', '249', '467', '652', '61', '112', '663', '638', '665', '461', '240', '141', '486', '653', '29', '191', '264', '59', '393', '447', '402', '0']
['521', '132', '119', '423', '356', '497', '68', '388', '315', '734', '139', '345', '129', '96', '468', '706', '180', '160', '572', '658', '165', '220', '25', '101', '445', '147', '431', '233', '138', '419']
['114', '645', '170', '295', '98', '483', '666', '204', '695', '46', '332', '241', '449', '175', '697', '414', '292', '522', '397', '47', '636', '673', '255', '54', '205', '184', '620', '603', '60', '178']
['710', '384', '256', '103', '489', '370', '305', '282', '410', '225', '553', '498', '628', '439', '585', '203', '482', '296', '350', '369', '399', '15', '536', '617', '425', '385', '258', '504', '607', '548']
['592', '599', '465', '131', '52', '325', '301', '544', '450', '606', '640', '84', '222', '415', '113', '601', '586', '26', '169', '378', '181', '276', '359', '349', '167', '343', '6', '22', '290', '633']
['265', '352', '172', '578', '55', '471', '330', '313', '732', '745', '717', '564', '12', '320', '517', '659', '671', '77', '1', '235', '643', '426', '137', '354', '573', '183', '662', '590', '227', '702']
['400', '28', '675', '542', '500', '524', '297', '33', '371', '232', '727', '735', '75', '698', '476', '428', '395', '405', '306', '195', '747', '550', '102', '532', '83', '48', '217', '19', '679', '309']
['674', '507', '464', '651', '510', '49', '708', '39', '118', '580', '583', '294', '69', '509', '133', '597', '637', '338', '190', '540', '333', '591', '392', '505', '318', '134', '719', '72', '177', '85']
['70', '472', '226', '105', '88', '224', '567', '223', '7', '207', '451', '304', '30', '458', '209', '409', '403', '66', '713', '357', '420', '302', '493', '109', '528', '429', '623', '594', '626', '156']
['561', '685', '686', '733', '43', '67', '125', '210', '310', '477', '635', '596', '649', '443', '560', '142', '582', '611', '2', '526', '559', '618', '554', '609', '289', '122', '448', '541', '457', '80']
['670', '5', '552', '538', '492', '546', '214', '438', '358', '496', '421', '93', '749', '644', '386', '382', '74', '331', '440', '616', '34', '104', '407', '187', '485', '418', '262', '324', '726', '598']
['571', '430', '335', '587', '731', '518', '380', '413', '513', '502', '281', '627', '337', '657', '417', '372', '387', '442', '376', '487', '317', '525', '185', '463', '512', '199', '286', '629', '21', '705']
['511', '570', '389', '351', '230', '362', '92', '283', '135', '495', '293', '473', '16', '285', '364', '506', '158', '725', '17', '374', '739', '86', '365', '212', '490', '736', '278', '312', '252', '149']
['81', '10', '534', '82', '408', '682', '270', '474', '336', '654', '642', '714', '154', '188', '171', '303', '279', '37', '593', '108', '680', '655', '610', '692', '672', '646', '228', '308', '44', '90']
['127', '18', '619', '656', '259', '326', '494', '261', '198', '527', '20', '720', '436', '130', '353', '124', '612', '288', '162', '161', '379', '40', '375', '221', '247', '622', '669', '334', '699', '441']
['557', '342', '551', '120', '106', '411', '381', '406', '45', '63', '231', '298', '251', '600', '58', '740', '624', '730', '186', '566', '311', '693', '287', '696', '277', '89', '604', '200', '614', '743']
