['768', '426', '573', '183', '75']
['239', '737', '643', '323', '354']
['520', '235', '56', '701', '166']
['968', '391', '907', '116', '746']
['146', '272', '435', '307', '806']
['432', '971', '927', '626', '777']
['571', '113', '590', '451', '589']
['61', '662', '103', '965', '708']
['505', '973', '687', '71', '789']
['639', '207', '140', '227', '246']
['337', '853', '303', '738', '339']
['894', '159', '89', '632', '4']
['248', '800', '456', '30', '263']
['742', '245', '266', '153', '816']
['993', '137', '634', '795', '458']
['127', '710', '168', '698', '476']
['882', '547', '803', '558', '721']
['550', '507', '702', '810', '423']
['923', '928', '32', '940', '395']
['238', '724', '681', '8', '428']
['480', '543', '455', '861', '306']
['193', '128', '498', '712', '875']
['162', '262', '132', '413', '172']
['409', '242', '463', '150', '486']
['709', '808', '508', '846', '905']
['31', '759', '849', '195', '871']
['497', '14', '843', '580', '747']
['695', '579', '344', '867', '15']
['893', '540', '537', '605', '977']
['801', '278', '854', '151', '102']
['345', '212', '868', '661', '371']
['762', '872', '219', '405', '906']
['693', '13', '958', '91', '213']
['19', '697', '400', '179', '452']
['979', '197', '7', '77', '812']
['425', '995', '791', '427', '466']
['678', '105', '961', '546', '549']
['922', '978', '529', '556', '353']
['338', '39', '96', '938', '703']
['679', '377', '601', '367', '417']
['577', '430', '314', '864', '460']
['719', '835', '130', '350', '532']
['407', '784', '925', '83', '218']
['142', '298', '347', '98', '363']
['749', '660', '482', '51', '192']
['379', '442', '888', '956', '986']
['228', '908', '811', '916', '688']
['28', '959', '366', '832', '903']
['43', '289', '890', '370', '301']
['62', '694', '933', '69', '217']
['461', '929', '361', '600', '202']
['104', '60', '587', '3', '637']
['847', '270', '686', '415', '798']
['247', '827', '837', '920', '785']
['744', '667', '739', '565', '869']
['111', '333', '640', '65', '491']
['900', '470', '392', '544', '727']
['12', '830', '254', '444', '309']
['182', '845', '312', '597', '484']
['446', '294', '653', '783', '586']
['765', '876', '603', '509', '133']
['857', '574', '599', '404', '862']
['563', '390', '689', '913', '346']
['234', '209', '471', '416', '214']
['436', '989', '934', '299', '66']
['930', '647', '807', '55', '1']
['769', '892', '760', '588', '125']
['79', '874', '591', '260', '855']
['349', '575', '398', '237', '980']
['786', '513', '29', '488', '355']
['696', '122', '143', '481', '190']
['602', '511', '969', '970', '264']
['610', '101', '329', '530', '9']
