['372', '407', '507', '694', '272', '477', '332', '710', '714', '109', '8', '32', '431', '718', '705', '256', '527', '548', '54', '253', '704', '476', '482', '401', '192', '460', '124', '74', '472', '321', '202', '499', '586', '198', '80', '568', '78', '112', '224', '425', '100', '216', '665', '273', '387', '14', '81', '713', '92', '359']
['685', '567', '240', '330', '75', '461', '189', '749', '10', '242', '215', '642', '721', '351', '579', '238', '696', '552', '578', '703', '197', '118', '661', '350', '729', '17', '587', '122', '727', '370', '107', '30', '640', '479', '338', '500', '346', '438', '621', '182', '104', '181', '245', '161', '99', '357', '227', '29', '441', '459']
['619', '207', '225', '39', '596', '388', '545', '550', '394', '708', '456', '220', '261', '73', '219', '464', '150', '168', '20', '194', '413', '506', '604', '340', '539', '60', '369', '515', '612', '547', '139', '542', '260', '262', '516', '275', '391', '490', '355', '538', '660', '40', '608', '717', '734', '106', '468', '5', '9', '564']
['24', '421', '56', '498', '137', '239', '443', '300', '28', '436', '553', '145', '446', '208', '632', '4', '155', '562', '452', '248', '557', '51', '206', '382', '254', '424', '171', '386', '440', '169', '69', '152', '666', '26', '434', '510', '114', '427', '716', '495', '95', '361', '433', '360', '588', '641', '244', '116', '170', '70']
['76', '692', '426', '166', '246', '560', '613', '723', '266', '2', '636', '119', '606', '33', '528', '377', '52', '367', '400', '296', '178', '374', '423', '739', '18', '229', '3', '531', '331', '466', '624', '722', '157', '532', '590', '442', '481', '486', '392', '449', '575', '686', '536', '126', '699', '638', '743', '290', '570', '334']
['326', '42', '488', '304', '292', '406', '662', '140', '203', '633', '492', '408', '483', '535', '83', '667', '279', '652', '740', '284', '141', '546', '190', '429', '196', '497', '85', '280', '563', '317', '620', '221', '232', '594', '136', '681', '522', '555', '213', '241', '514', '307', '276', '278', '599', '647', '420', '402', '517', '566']
['597', '577', '709', '649', '25', '643', '44', '569', '313', '162', '702', '585', '439', '205', '271', '747', '327', '128', '339', '513', '314', '123', '399', '133', '503', '120', '61', '212', '385', '383', '373', '745', '728', '366', '719', '504', '302', '493', '634', '712', '610', '259', '410', '335', '308', '742', '264', '352', '135', '62']
['195', '209', '309', '105', '738', '90', '687', '589', '648', '172', '581', '559', '306', '491', '580', '415', '478', '695', '509', '444', '158', '475', '450', '288', '65', '305', '519', '736', '97', '690', '324', '748', '201', '186', '656', '22', '0', '316', '411', '37', '371', '53', '508', '422', '615', '735', '295', '595', '255', '537']
['86', '235', '737', '463', '183', '199', '45', '445', '511', '395', '63', '11', '605', '609', '268', '347', '233', '353', '111', '269', '448', '365', '66', '529', '684', '635', '607', '38', '572', '293', '505', '167', '134', '237', '393', '668', '121', '726', '494', '226', '593', '234', '318', '623', '117', '741', '591', '174', '57', '471']
['541', '389', '132', '211', '465', '458', '16', '143', '138', '231', '364', '173', '130', '19', '58', '43', '15', '549', '689', '730', '34', '651', '297', '187', '96', '94', '72', '454', '12', '41', '223', '165', '658', '518', '91', '291', '646', '153', '558', '698', '554', '362', '414', '67', '473', '453', '670', '108', '222', '678']
['398', '101', '676', '21', '470', '127', '657', '412', '46', '50', '733', '378', '125', '701', '164', '653', '329', '526', '88', '287', '583', '451', '281', '437', '409', '679', '345', '405', '55', '191', '543', '312', '348', '677', '147', '310', '156', '627', '71', '175', '249', '315', '113', '228', '218', '551', '592', '725', '484', '644']
['447', '697', '683', '637', '257', '144', '82', '556', '616', '204', '501', '59', '230', '341', '358', '700', '210', '645', '654', '146', '512', '148', '650', '565', '311', '533', '376', '418', '544', '79', '655', '629', '349', '343', '336', '534', '149', '628', '193', '217', '457', '602', '693', '724', '455', '251', '7', '180', '115', '322']
['614', '368', '672', '682', '489', '582', '47', '328', '151', '363', '303', '711', '462', '283', '36', '675', '598', '671', '176', '521', '381', '354', '110', '13', '6', '179', '265', '102', '625', '390', '664', '584', '252', '131', '163', '129', '630', '159', '294', '467', '404', '250', '485', '523', '35', '659', '379', '277', '320', '286']
['688', '573', '397', '502', '323', '611', '263', '469', '432', '428', '707', '344', '301', '270', '617', '356', '282', '524', '540', '574', '319', '23', '706', '746', '103', '715', '487', '601', '744', '337', '236', '49', '720', '184', '298', '603', '98', '571', '200', '1', '375', '177', '342', '631', '561', '247', '185', '576', '403', '325']
['435', '674', '48', '27', '380', '520', '285', '396', '89', '480', '77', '384', '732', '416', '299', '663', '214', '87', '93', '243', '691', '274', '525', '289', '731', '68', '496', '430', '142', '64', '154', '84', '333', '600', '258', '639', '622', '618', '267', '31', '188', '669', '680', '419', '417', '530', '626', '474', '673', '160']
