['345', '56', '272', '391', '116', '159', '266', '71', '246', '153', '4', '32', '470', '150', '238', '166', '344', '213', '151', '197', '248', '480', '347', '435', '192']
['416', '263', '91', '460', '361', '254', '404', '202', '260', '384', '65', '484', '390', '334', '346', '182', '355', '427', '0', '478', '94', '398', '329', '237', '268']
['299', '321', '121', '352', '173', '174', '234', '117', '189', '422', '42', '402', '424', '300', '28', '194', '76', '465', '36', '164', '119', '469', '172', '499', '458']
['378', '319', '328', '253', '128', '51', '31', '111', '206', '475', '428', '50', '24', '395', '270', '455', '466', '78', '479', '275', '152', '284', '38', '97', '481']
['8', '99', '267', '100', '394', '216', '18', '459', '126', '488', '35', '155', '373', '53', '103', '348', '163', '68', '239', '452', '388', '243', '211', '145', '433']
['309', '483', '73', '377', '236', '412', '396', '301', '271', '148', '193', '27', '46', '401', '249', '315', '467', '139', '332', '112', '305', '282', '363', '462', '44']
['338', '240', '141', '96', '29', '191', '449', '59', '447', '175', '283', '446', '316', '170', '450', '180', '160', '245', '3', '225', '220', '292', '356', '176', '25']
['26', '264', '330', '397', '201', '47', '101', '445', '146', '431', '233', '419', '54', '491', '131', '184', '482', '296', '98', '113', '369', '399', '341', '464', '169']
['360', '425', '385', '258', '181', '297', '359', '79', '349', '167', '383', '343', '22', '12', '290', '320', '132', '226', '55', '232', '82', '114', '235', '207', '426']
['241', '137', '354', '227', '451', '39', '30', '168', '476', '423', '219', '405', '306', '195', '454', '143', '102', '314', '350', '69', '366', '19', '133', '415', '409']
['13', '61', '313', '66', '43', '214', '1', '333', '357', '392', '318', '134', '72', '420', '177', '85', '302', '493', '109', '429', '358', '210', '289', '310', '156']
['144', '280', '380', '389', '413', '443', '277', '370', '142', '93', '281', '2', '67', '408', '351', '127', '230', '371', '367', '417', '372', '382', '122', '74', '448']
['9', '437', '457', '95', '80', '331', '440', '250', '474', '295', '104', '387', '442', '187', '92', '487', '485', '262', '324', '11', '393', '414', '135', '222', '274']
['242', '317', '88', '336', '496', '185', '259', '495', '62', '498', '463', '421', '403', '199', '489', '293', '286', '327', '21', '368', '33', '16', '339', '285', '154']
['307', '364', '477', '473', '265', '340', '158', '17', '374', '188', '171', '120', '86', '365', '212', '303', '441', '375', '14', '278', '432', '196', '312', '252', '149']
['190', '106', '5', '23', '70', '494', '411', '279', '37', '81', '205', '291', '381', '406', '308', '461', '90', '10', '147', '261', '198', '64', '63', '335', '6']
['34', '20', '298', '436', '89', '118', '400', '130', '251', '294', '353', '337', '124', '472', '58', '162', '256', '362', '200', '204', '157', '77', '161', '379', '129']
['244', '40', '229', '490', '123', '136', '223', '52', '430', '311', '273', '57', '287', '247', '342', '468', '221', '49', '75', '179', '125', '48', '208', '107', '186']
['453', '492', '228', '438', '288', '325', '215', '110', '276', '87', '257', '15', '183', '115', '456', '224', '269', '471', '217', '410', '386', '178', '439', '45', '304']
['203', '105', '60', '138', '323', '486', '218', '140', '444', '376', '83', '322', '407', '84', '165', '326', '255', '434', '418', '497', '41', '108', '209', '7', '231']
