['584', '214', '264', '87', '486', '504', '409', '382', '21', '577']
['373', '90', '198', '35', '96', '524', '309', '227', '368', '381']
['301', '213', '560', '155', '69', '567', '403', '122', '33', '406']
['393', '390', '78', '41', '29', '510', '597', '448', '16', '228']
['391', '363', '437', '272', '191', '538', '313', '541', '339', '326']
['456', '483', '189', '322', '449', '276', '131', '229', '285', '44']
['263', '38', '176', '53', '59', '359', '66', '496', '154', '394']
['579', '258', '42', '103', '544', '348', '586', '457', '509', '10']
['480', '343', '424', '79', '237', '349', '43', '95', '477', '342']
['529', '231', '300', '62', '447', '167', '190', '205', '243', '64']
['578', '308', '28', '163', '9', '22', '521', '331', '506', '63']
['65', '133', '446', '68', '0', '12', '55', '440', '265', '527']
['499', '296', '76', '151', '316', '290', '114', '425', '340', '548']
['51', '522', '465', '239', '254', '320', '333', '371', '539', '335']
['479', '460', '36', '452', '450', '517', '591', '356', '158', '6']
['402', '361', '164', '115', '180', '132', '392', '474', '596', '410']
['126', '587', '208', '388', '160', '226', '505', '385', '17', '20']
['572', '2', '119', '110', '127', '7', '318', '34', '374', '298']
['45', '143', '215', '595', '330', '49', '134', '295', '551', '413']
['576', '72', '469', '211', '202', '125', '420', '104', '188', '89']
['445', '293', '242', '145', '225', '232', '177', '273', '571', '118']
['138', '599', '80', '148', '220', '518', '85', '387', '171', '345']
['415', '23', '13', '433', '292', '1', '302', '442', '464', '251']
['500', '147', '319', '294', '332', '235', '493', '376', '120', '82']
['168', '400', '328', '157', '25', '207', '570', '187', '365', '353']
['540', '74', '562', '73', '397', '426', '472', '92', '204', '569']
['372', '593', '568', '377', '165', '427', '528', '487', '212', '337']
['88', '547', '128', '236', '553', '166', '384', '485', '303', '124']
['492', '520', '31', '412', '47', '573', '358', '418', '490', '67']
['364', '261', '111', '396', '101', '435', '592', '262', '172', '241']
['86', '404', '206', '257', '439', '508', '210', '594', '532', '58']
['56', '3', '475', '11', '146', '75', '514', '324', '360', '107']
['323', '260', '423', '77', '255', '140', '289', '325', '430', '288']
['14', '484', '50', '271', '431', '436', '421', '383', '278', '549']
['535', '416', '117', '268', '233', '451', '407', '555', '432', '386']
['116', '299', '503', '193', '419', '564', '280', '24', '502', '362']
['266', '565', '219', '27', '54', '39', '380', '135', '196', '200']
['71', '346', '270', '283', '491', '304', '389', '453', '312', '201']
['246', '519', '455', '46', '84', '30', '537', '203', '458', '414']
['153', '182', '250', '401', '222', '8', '144', '274', '252', '26']
['558', '355', '478', '429', '585', '476', '513', '317', '588', '438']
['4', '590', '375', '249', '184', '221', '443', '336', '149', '161']
['32', '245', '152', '315', '307', '428', '277', '525', '106', '379']
['334', '574', '284', '444', '556', '395', '105', '422', '5', '129']
['470', '530', '244', '467', '482', '405', '142', '185', '533', '40']
['543', '269', '275', '559', '60', '306', '93', '130', '561', '557']
['91', '94', '97', '370', '350', '195', '582', '259', '70', '441']
['150', '575', '481', '139', '113', '454', '162', '181', '494', '123']
['238', '398', '99', '531', '369', '580', '526', '495', '281', '186']
['354', '329', '267', '61', '399', '550', '305', '498', '411', '136']
['511', '468', '100', '112', '542', '583', '109', '463', '545', '223']
['344', '121', '253', '471', '341', '314', '408', '512', '279', '52']
['179', '352', '216', '137', '15', '83', '351', '310', '37', '566']
['197', '563', '501', '282', '338', '209', '256', '48', '589', '102']
['248', '173', '462', '218', '552', '178', '554', '297', '81', '546']
['466', '598', '18', '98', '536', '515', '230', '156', '108', '311']
['347', '174', '459', '434', '169', '366', '507', '199', '473', '534']
['183', '175', '170', '461', '224', '217', '194', '489', '497', '57']
['192', '234', '523', '240', '516', '19', '367', '286', '357', '287']
['581', '159', '488', '141', '378', '321', '417', '327', '291', '247']
