['621', '337', '394', '382', '470', '147', '536', '362', '130', '683', '437', '370', '611', '676', '328', '113', '153', '273', '396', '322', '518', '567', '246', '487']
['254', '535', '45', '468', '416', '363', '81', '406', '144', '18', '675', '696', '377', '371', '521', '402', '167', '76', '222', '627', '231', '635', '178', '568']
['563', '495', '405', '424', '314', '255', '612', '664', '193', '275', '583', '289', '265', '691', '243', '23', '190', '77', '72', '541', '247', '441', '248', '631']
['62', '383', '629', '162', '149', '39', '681', '96', '461', '496', '504', '264', '581', '187', '168', '261', '300', '572', '515', '203', '433', '129', '15', '674']
['13', '142', '61', '375', '257', '390', '660', '131', '357', '191', '524', '603', '132', '570', '152', '617', '64', '379', '52', '30', '60', '253', '403', '434']
['206', '451', '503', '211', '335', '404', '79', '92', '155', '410', '651', '202', '116', '432', '698', '172', '312', '22', '139', '114', '164', '124', '281', '29']
['20', '679', '94', '101', '195', '481', '543', '622', '364', '378', '226', '527', '240', '185', '117', '165', '655', '557', '554', '154', '293', '584', '210', '48']
['325', '235', '508', '82', '221', '605', '479', '290', '545', '388', '318', '343', '55', '297', '75', '445', '561', '112', '658', '340', '469', '35', '668', '699']
['359', '695', '150', '592', '444', '430', '477', '458', '36', '100', '597', '672', '40', '115', '689', '514', '654', '215', '105', '381', '299', '0', '163', '341']
['559', '63', '579', '646', '512', '120', '276', '661', '16', '528', '67', '645', '630', '66', '267', '262', '555', '671', '349', '548', '538', '236', '37', '95']
['186', '301', '319', '161', '208', '228', '502', '450', '304', '553', '274', '46', '670', '413', '659', '662', '395', '80', '34', '525', '483', '486', '638']
['398', '171', '31', '484', '86', '580', '520', '517', '615', '393', '177', '12', '549', '639', '523', '427', '610', '91', '5', '574', '643', '471', '110']
['352', '408', '251', '156', '182', '44', '604', '84', '409', '614', '345', '542', '669', '284', '83', '315', '10', '355', '516', '657', '125', '697', '633']
['4', '666', '501', '320', '166', '338', '452', '565', '259', '652', '619', '298', '467', '278', '494', '637', '157', '252', '26', '6', '507', '25', '687']
['356', '260', '87', '158', '650', '311', '680', '181', '465', '306', '534', '485', '391', '232', '146', '350', '174', '678', '439', '642', '656', '21', '194']
['38', '291', '462', '463', '692', '530', '148', '505', '598', '233', '546', '360', '266', '351', '128', '277', '428', '466', '440', '623', '286', '205', '663']
['99', '653', '230', '344', '69', '270', '472', '552', '509', '323', '283', '374', '71', '384', '33', '242', '436', '618', '122', '693', '219', '585', '184']
['9', '569', '412', '600', '411', '564', '170', '200', '571', '93', '414', '47', '361', '313', '613', '558', '506', '346', '620', '595', '632', '369', '493']
['309', '54', '321', '354', '397', '560', '511', '537', '533', '577', '180', '586', '510', '667', '41', '138', '51', '216', '497', '218', '540', '102', '499']
['624', '238', '333', '160', '547', '389', '500', '50', '272', '491', '127', '625', '418', '175', '204', '244', '292', '596', '593', '608', '103', '85', '316']
['196', '453', '74', '694', '136', '488', '229', '423', '498', '137', '331', '365', '305', '367', '68', '449', '169', '108', '58', '207', '32', '489', '296']
['480', '285', '353', '49', '551', '599', '327', '141', '209', '606', '419', '106', '334', '237', '179', '176', '587', '455', '224', '89', '239', '11', '385']
['53', '56', '104', '456', '464', '78', '591', '366', '588', '372', '17', '43', '519', '326', '282', '214', '59', '70', '422', '380', '279', '330', '532']
['225', '529', '90', '188', '302', '189', '690', '368', '442', '280', '19', '118', '329', '438', '294', '448', '7', '628', '590', '88', '123', '602', '14']
['332', '544', '119', '348', '475', '8', '474', '135', '556', '401', '192', '522', '212', '640', '249', '245', '250', '431', '140', '201', '417', '460', '673']
['601', '143', '288', '415', '609', '682', '476', '407', '421', '308', '566', '1', '562', '616', '576', '134', '307', '126', '578', '336', '133', '641', '197']
['342', '317', '269', '268', '473', '400', '589', '575', '426', '271', '688', '392', '198', '42', '295', '647', '199', '145', '107', '492', '634', '121', '482']
['223', '607', '111', '459', '478', '446', '73', '685', '526', '686', '399', '2', '677', '263', '490', '443', '256', '386', '550', '303', '324', '28', '183']
['217', '310', '582', '454', '626', '429', '665', '3', '420', '241', '227', '109', '173', '347', '98', '648', '57', '258', '594', '358', '573', '24', '65']
['644', '457', '373', '387', '97', '159', '213', '287', '234', '447', '339', '376', '636', '684', '27', '539', '220', '513', '649', '151', '531', '425', '435']
