['a284', 'a116', 'a208', 'a90', 'a99', 'a186', 'a26', 'a174', 'a371', 'a428', 'a424', 'a243']
['a138', 'a321', 'a34', 'a136', 'a114', 'a430', 'a325', 'a200', 'a423', 'a109', 'a122', 'a72']
['a196', 'a313', 'a397', 'a3', 'a256', 'a276', 'a89', 'a166', 'a153', 'a95', 'a255', 'a123']
['a387', 'a251', 'a241', 'a24', 'a290', 'a275', 'a376', 'a87', 'a433', 'a292', 'a206', 'a358']
['a210', 'a152', 'a36', 'a286', 'a192', 'a311', 'a263', 'a344', 'a64', 'a450', 'a366', 'a368']
['a354', 'a224', 'a19', 'a75', 'a421', 'a42', 'a406', 'a480', 'a451', 'a51', 'a306', 'a91']
['a27', 'a76', 'a315', 'a464', 'a119', 'a431', 'a302', 'a52', 'a471', 'a396', 'a188', 'a362']
['a380', 'a458', 'a96', 'a282', 'a429', 'a139', 'a332', 'a15', 'a172', 'a159', 'a164', 'a161']
['a56', 'a419', 'a211', 'a305', 'a128', 'a422', 'a434', 'a169', 'a247', 'a237', 'a291', 'a239']
['a14', 'a142', 'a402', 'a408', 'a267', 'a407', 'a415', 'a401', 'a359', 'a171', 'a353', 'a308']
['a67', 'a320', 'a333', 'a29', 'a149', 'a412', 'a254', 'a420', 'a476', 'a398', 'a183', 'a340']
['a437', 'a214', 'a363', 'a1', 'a346', 'a304', 'a226', 'a260', 'a377', 'a441', 'a148', 'a231']
['a106', 'a436', 'a160', 'a219', 'a372', 'a38', 'a86', 'a469', 'a134', 'a53', 'a400', 'a104']
['a409', 'a478', 'a403', 'a163', 'a22', 'a449', 'a326', 'a162', 'a349', 'a259', 'a457', 'a312']
['a176', 'a474', 'a470', 'a389', 'a455', 'a443', 'a204', 'a41', 'a369', 'a432', 'a137', 'a296']
['a40', 'a330', 'a465', 'a277', 'a381', 'a129', 'a357', 'a141', 'a78', 'a280', 'a218', 'a307']
['a287', 'a28', 'a427', 'a68', 'a382', 'a374', 'a294', 'a145', 'a179', 'a257', 'a79', 'a416']
['a477', 'a39', 'a121', 'a461', 'a229', 'a182', 'a168', 'a472', 'a361', 'a143', 'a207', 'a317']
['a289', 'a126', 'a475', 'a337', 'a32', 'a221', 'a222', 'a339', 'a293', 'a405', 'a350', 'a279']
['a6', 'a383', 'a385', 'a364', 'a84', 'a59', 'a127', 'a201', 'a173', 'a394', 'a131', 'a258']
['a65', 'a413', 'a442', 'a18', 'a234', 'a425', 'a266', 'a118', 'a230', 'a48', 'a375', 'a323']
['a301', 'a81', 'a120', 'a327', 'a242', 'a92', 'a303', 'a414', 'a190', 'a194', 'a191', 'a269']
['a55', 'a355', 'a268', 'a107', 'a189', 'a5', 'a351', 'a216', 'a103', 'a418', 'a155', 'a459']
['a310', 'a468', 'a336', 'a35', 'a135', 'a157', 'a454', 'a452', 'a125', 'a466', 'a180', 'a300']
['a335', 'a43', 'a105', 'a447', 'a37', 'a338', 'a220', 'a342', 'a184', 'a165', 'a440', 'a124']
['a130', 'a479', 'a272', 'a156', 'a378', 'a365', 'a283', 'a74', 'a58', 'a100', 'a71', 'a187']
['a314', 'a426', 'a46', 'a60', 'a334', 'a70', 'a49', 'a21', 'a244', 'a444', 'a271', 'a347']
['a132', 'a462', 'a463', 'a154', 'a370', 'a273', 'a102', 'a453', 'a331', 'a151', 'a252', 'a144']
['a322', 'a17', 'a467', 'a356', 'a235', 'a147', 'a212', 'a388', 'a85', 'a54', 'a223', 'a83']
['a117', 'a63', 'a80', 'a61', 'a30', 'a158', 'a264', 'a386', 'a324', 'a448', 'a45', 'a44']
['a245', 'a108', 'a9', 'a113', 'a270', 'a181', 'a209', 'a438', 'a288', 'a82', 'a404', 'a295']
['a16', 'a185', 'a411', 'a197', 'a232', 'a110', 'a115', 'a195', 'a299', 'a227', 'a69', 'a445']
['a77', 'a278', 'a435', 'a8', 'a203', 'a225', 'a446', 'a456', 'a236', 'a393', 'a250', 'a410']
['a316', 'a7', 'a98', 'a193', 'a384', 'a205', 'a262', 'a360', 'a88', 'a399', 'a329', 'a133']
['a319', 'a57', 'a348', 'a47', 'a199', 'a328', 'a62', 'a50', 'a73', 'a94', 'a25', 'a213']
['a140', 'a112', 'a12', 'a473', 'a217', 'a93', 'a111', 'a248', 'a297', 'a392', 'a177', 'a285']
['a175', 'a150', 'a11', 'a460', 'a170', 'a309', 'a265', 'a167', 'a439', 'a66', 'a373', 'a318']
['a228', 'a343', 'a13', 'a97', 'a146', 'a202', 'a274', 'a352', 'a249', 'a379', 'a395', 'a417']
['a4', 'a101', 'a261', 'a341', 'a253', 'a238', 'a215', 'a345', 'a2', 'a391', 'a298', 'a23']
['a240', 'a10', 'a390', 'a367', 'a178', 'a198', 'a233', 'a281', 'a246', 'a20', 'a31', 'a33']
