['10', '269', '437', '27', '436']
['428', '120', '318', '338', '448']
['395', '124', '457', '494', '135']
['410', '394', '441', '312', '15']
['431', '125', '176', '215', '60']
['106', '158', '310', '351', '336']
['77', '379', '150', '66', '167']
['51', '52', '353', '97', '392']
['95', '420', '342', '324', '479']
['127', '405', '146', '339', '171']
['337', '195', '430', '311', '138']
['325', '270', '198', '472', '37']
['179', '496', '422', '53', '210']
['209', '488', '321', '434', '365']
['340', '8', '126', '383', '281']
['254', '499', '74', '473', '485']
['240', '223', '85', '329', '316']
['5', '163', '117', '1', '29']
['404', '155', '307', '282', '177']
['246', '393', '331', '402', '257']
['277', '101', '287', '322', '419']
['70', '251', '162', '396', '491']
['480', '82', '387', '369', '221']
['55', '373', '113', '24', '216']
['40', '35', '115', '391', '464']
['199', '104', '493', '283', '166']
['226', '406', '368', '364', '12']
['211', '118', '149', '110', '164']
['470', '433', '432', '374', '357']
['328', '484', '376', '341', '492']
['18', '154', '123', '89', '165']
['443', '170', '214', '333', '58']
['482', '362', '265', '73', '83']
['261', '71', '462', '189', '343']
['367', '228', '300', '414', '346']
['454', '266', '219', '178', '447']
['424', '455', '305', '121', '109']
['218', '81', '44', '417', '96']
['156', '354', '13', '299', '175']
['203', '292', '409', '6', '421']
['298', '498', '323', '439', '382']
['242', '359', '204', '255', '56']
['296', '490', '446', '236', '408']
['304', '466', '458', '17', '217']
['452', '185', '372', '128', '141']
['398', '62', '275', '7', '247']
['33', '190', '197', '290', '427']
['61', '239', '309', '313', '306']
['157', '142', '188', '92', '222']
['2', '297', '289', '43', '224']
['477', '272', '291', '230', '381']
['213', '456', '252', '54', '69']
['249', '59', '145', '274', '407']
['237', '79', '465', '260', '397']
['231', '161', '139', '212', '233']
['36', '193', '143', '303', '288']
['426', '25', '468', '80', '192']
['206', '232', '91', '227', '411']
['384', '412', '279', '234', '248']
['28', '478', '438', '67', '284']
['245', '102', '93', '385', '440']
['302', '378', '444', '418', '451']
['435', '389', '388', '453', '450']
['19', '399', '355', '39', '140']
['486', '475', '344', '463', '371']
['335', '286', '390', '361', '3']
['327', '294', '489', '459', '238']
['4', '348', '151', '258', '136']
['386', '229', '220', '196', '159']
['11', '184', '84', '205', '105']
['442', '26', '133', '400', '31']
['276', '235', '319', '168', '16']
['107', '317', '45', '415', '172']
['32', '132', '186', '111', '370']
['280', '356', '347', '88', '259']
['271', '243', '262', '349', '57']
['147', '148', '99', '278', '22']
['293', '320', '375', '350', '413']
['76', '9', '94', '377', '285']
['301', '46', '345', '314', '423']
['194', '268', '263', '264', '122']
['460', '202', '34', '207', '14']
['256', '187', '119', '308', '20']
['469', '332', '487', '401', '358']
['449', '225', '181', '30', '48']
['134', '112', '173', '425', '116']
['78', '63', '403', '360', '182']
['100', '183', '467', '330', '152']
['42', '90', '191', '87', '483']
['169', '366', '445', '131', '471']
['153', '429', '130', '174', '253']
['326', '461', '241', '137', '334']
['21', '64', '273', '250']
['86', '474', '363', '208', '38']
['497', '481', '68', '295', '23']
['108', '129', '267', '380', '50']
['476', '65', '41', '144']
['75', '0', '180', '72']
['495', '114', '200', '160']
['47', '98', '103', '244']
['416', '201', '315', '352', '49']
