['a73', 'a275', 'a46', 'a361', 'a249', 'a390', 'a150', 'a64', 'a257', 'a30', 'a271', 'a43', 'a395', 'a371', 'a353', 'a219', 'a81', 'a189', 'a248', 'a312']
['a206', 'a72', 'a10', 'a207', 'a300', 'a51', 'a116', 'a366', 'a79', 'a191', 'a14', 'a199', 'a92', 'a284', 'a340', 'a339', 'a158', 'a65', 'a183', 'a341']
['a48', 'a204', 'a44', 'a173', 'a5', 'a184', 'a86', 'a302', 'a78', 'a77', 'a85', 'a363', 'a175', 'a256', 'a377', 'a143', 'a58', 'a181', 'a314', 'a203']
['a222', 'a22', 'a172', 'a96', 'a88', 'a367', 'a11', 'a52', 'a307', 'a286', 'a297', 'a111', 'a147', 'a87', 'a231', 'a17', 'a71', 'a288', 'a265', 'a355']
['a396', 'a122', 'a105', 'a190', 'a383', 'a68', 'a382', 'a91', 'a135', 'a387', 'a144', 'a54', 'a180', 'a276', 'a134', 'a293', 'a356', 'a0', 'a50', 'a112']
['a294', 'a125', 'a261', 'a216', 'a209', 'a39', 'a268', 'a28', 'a75', 'a74', 'a12', 'a278', 'a110', 'a76', 'a273', 'a394', 'a310', 'a193', 'a316', 'a139']
['a373', 'a98', 'a359', 'a277', 'a384', 'a37', 'a90', 'a159', 'a330', 'a9', 'a164', 'a283', 'a33', 'a192', 'a163', 'a185', 'a102', 'a195', 'a348', 'a137']
['a118', 'a3', 'a169', 'a321', 'a47', 'a210', 'a325', 'a188', 'a266', 'a100', 'a378', 'a343', 'a391', 'a255', 'a67', 'a326', 'a264', 'a336', 'a177', 'a16']
['a142', 'a26', 'a197', 'a381', 'a182', 'a211', 'a109', 'a362', 'a131', 'a282', 'a128', 'a94', 'a40', 'a263', 'a160', 'a279', 'a60', 'a35', 'a89', 'a322']
['a114', 'a170', 'a260', 'a103', 'a250', 'a55', 'a225', 'a123', 'a350', 'a251', 'a8', 'a13', 'a198', 'a358', 'a374', 'a389', 'a223', 'a106', 'a285', 'a6']
['a179', 'a196', 'a41', 'a328', 'a176', 'a29', 'a267', 'a200', 'a152', 'a95', 'a295', 'a31', 'a238', 'a42', 'a162', 'a351', 'a171', 'a205', 'a97', 'a289']
['a130', 'a202', 'a218', 'a311', 'a364', 'a247', 'a370', 'a372', 'a230', 'a235', 'a115', 'a388', 'a301', 'a119', 'a369', 'a323', 'a21', 'a337', 'a335', 'a20']
['a62', 'a24', 'a178', 'a156', 'a215', 'a237', 'a108', 'a148', 'a303', 'a174', 'a357', 'a245', 'a57', 'a332', 'a229', 'a157', 'a244', 'a398', 'a66', 'a233']
['a232', 'a36', 'a234', 'a82', 'a146', 'a226', 'a69', 'a38', 'a242', 'a70', 'a258', 'a318', 'a246', 'a306', 'a145', 'a385', 'a113', 'a262', 'a274', 'a281']
['a397', 'a386', 'a290', 'a333', 'a220', 'a309', 'a320', 'a34', 'a375', 'a49', 'a214', 'a101', 'a61', 'a208', 'a120', 'a155', 'a313', 'a376', 'a324', 'a63']
['a99', 'a59', 'a344', 'a280', 'a138', 'a296', 'a166', 'a104', 'a194', 'a212', 'a236', 'a140', 'a380', 'a254', 'a141', 'a201', 'a83', 'a217', 'a272', 'a132']
['a1', 'a269', 'a305', 'a25', 'a213', 'a342', 'a153', 'a259', 'a338', 'a331', 'a393', 'a352', 'a253', 'a304', 'a151', 'a124', 'a347', 'a329', 'a228', 'a117']
['a346', 'a399', 'a349', 'a2', 'a80', 'a227', 'a315', 'a18', 'a133', 'a27', 'a299', 'a243', 'a136', 'a161', 'a221', 'a317', 'a252', 'a365', 'a126', 'a345']
['a149', 'a7', 'a19', 'a165', 'a240', 'a239', 'a45', 'a32', 'a107', 'a327', 'a4', 'a129', 'a241', 'a291', 'a354', 'a154', 'a334', 'a93', 'a379', 'a319']
['a224', 'a368', 'a168', 'a308', 'a15', 'a187', 'a292', 'a84', 'a392', 'a56', 'a360', 'a167', 'a186', 'a121', 'a127', 'a53', 'a270', 'a287', 'a23', 'a298']
