['0', 'E50', 'G50']
['30', 'A12', 'F12']
['27', 'E44', 'G44']
['37', 'A52', 'B52']
['24', 'C29', 'H44']
['50', 'C0', 'C1']
['19', 'C10', 'F5']
['9', 'C9', 'H26']
['26', 'C52', 'C53']
['4', 'C13', 'C12']
['48', 'C15', 'F0']
['46', 'C31', 'C30']
['12', 'C41', 'F52']
['38', 'C44', 'F10']
['8', 'C47', 'H45']
['6', 'C50', 'F28']
['34', 'C27', 'B53']
['51', 'F30', 'F46']
['5', 'F23', 'H15']
['42', 'H8', 'B26']
['35', 'H2', 'H1']
['28', 'F7', 'H35']
['18', 'B7', 'F21']
['44', 'B34', 'G6']
['56', 'B23', 'G49']
['3', 'H38', 'H37']
['16', 'B10', 'G33']
['55', 'F2', 'G4']
['45', 'H19', 'G41']
['2', 'H3', 'H4']
['31', 'H9', 'H10']
['13', 'F40', 'G5']
['57', 'B16', 'G18']
['58', 'H14', 'H13']
['49', 'H28', 'G37']
['53', 'H29', 'H30']
['17', 'H12', 'G20']
['59', 'H48', 'G35']
['54', 'B30', 'G30']
['21', 'H40', 'G48']
['20', 'F11', 'G10']
['33', 'B27', 'G8']
['14', 'F17', 'G19']
['40', 'H24', 'G54']
['47', 'B33', 'G45']
['10', 'F3', 'G21']
['15', 'H42', 'G36']
['1', 'H32', 'G52']
['25', 'H49', 'H50']
['39', 'H51', 'G24']
['32', 'B46', 'G16']
['43', 'B20', 'G14']
['7', 'F50', 'G17']
['52', 'H54', 'G40']
['11', 'F25', 'G51']
['22', 'F32', 'G43']
['36', 'F31', 'G11']
['29', 'F6', 'G25']
['41', 'H18', 'H17']
['23', 'F44', 'G39']
['D19', 'B19', 'E19']
['E5', 'D5', 'H5']
['D50', 'B50', 'A50']
['D51', 'E51', 'B51']
['E11', 'H11', 'D11']
['E6', 'D6', 'H6']
['D49', 'C49', 'E49']
['E20', 'D20', 'H20']
['D44', 'B44', 'A44']
['A14', 'F14', 'B14']
['A45', 'F45', 'C45']
['D30', 'E30', 'A30']
['A17', 'B17', 'C17']
['D17', 'E17', 'G47']
['A15', 'B15', 'D15']
['A48', 'F48', 'C48']
['A23', 'D23', 'C23']
['A47', 'B47', 'F47']
['D54', 'C54', 'E54']
['E25', 'H25', 'D25']
['D24', 'E24', 'C24']
['E4', 'F4', 'D4']
['A27', 'D27', 'F27']
['E38', 'G38', 'F38']
['D37', 'B37', 'E37']
['A40', 'C40', 'B40']
['A35', 'C35', 'F35']
['E13', 'D13', 'G13']
['A16', 'C16', 'F16']
['D46', 'C46', 'A46']
['A0', 'D0', 'B0']
['E33', 'H33', 'D33']
['E23', 'H23', 'G23']
['E43', 'H43', 'F43']
['E2', 'G2', 'D2']
['A49', 'F49', 'B49']
['E21', 'D21', 'H21']
['E9', 'D9', 'G9']
['E32', 'D32', 'G32']
['A21', 'B21', 'C21']
['D10', 'A10', 'E10']
['A33', 'C33', 'F33']
['A41', 'B41', 'D41']
['A28', 'B28', 'C28']
['D45', 'B45', 'E45']
['E41', 'H41', 'F41']
['D29', 'B29', 'A29']
['E28', 'G28', 'D28']
['D14', 'E14', 'C14']
['E36', 'H36', 'F36']
['E27', 'G27', 'H27']
['D1', 'B1', 'A1']
['A19', 'F19', 'C19']
['D42', 'E42', 'B42']
['A7', 'C7', 'D7']
['A13', 'B13', 'F13']
['A2', 'C2', 'B2']
['A51', 'F51', 'C51']
['E18', 'F18', 'D18']
['D12', 'E12', 'B12']
['D35', 'B35', 'E35']
['E15', 'G15', 'F15']
['A32', 'B32', 'C32']
['A31', 'B31', 'D31']
['E3', 'G3', 'D3']
['A9', 'F9', 'B9']
['E52', 'H52', 'D52']
['A5', 'C5', 'B5']
['A53', 'D53', 'F53']
['E29', 'F29', 'G29']
['E47', 'H47', 'D47']
['E22', 'G22', 'H22']
['E31', 'G31', 'H31']
['E16', 'H16', 'D16']
['A11', 'B11', 'C11']
['A4', 'C4', 'B4']
['D36', 'C36', 'A36']
['D48', 'E48', 'B48']
['A38', 'B38', 'C38']
['A43', 'C43', 'B43']
['E34', 'H34', 'F34']
['D34', 'A34', 'C34']
['D8', 'E8', 'B8']
['A39', 'C39', 'D39']
['A20', 'C20', 'F20']
['D40', 'E40', 'G34']
['D38', 'B36', 'G12']
['A8', 'F8', 'C8']
['E53', 'G53', 'H53']
['A22', 'F22', 'B22']
['A3', 'C3', 'B3']
['E39', 'F39', 'H39']
['A42', 'F42', 'C42']
['A54', 'B54', 'F54']
['E0', 'H0', 'G0']
['A25', 'B25', 'C25']
['E1', 'G1', 'F1']
['A6', 'B6', 'C6']
['E46', 'H46', 'G46']
['D43', 'B39', 'G42']
['A26', 'F26', 'C26']
['D22', 'C22']
['E26', 'D26', 'G26']
['E7', 'H7', 'G7']
['A37', 'C37', 'F37']
['A24', 'F24', 'B24']
['A18', 'B18', 'C18']
