['a69', 'a63', 'a65', 'a68', 'a61', 'a13', 'a10', 'a96', 'a20', 'a238']
['a83', 'a88', 'a85', 'a87', 'a84', 'a86', 'a208', 'a74', 'a75', 'a136']
['a196', 'a67', 'a197', 'a193', 'a190', 'a95', 'a241', 'a174', 'a177', 'a3']
['a126', 'a124', 'a122', 'a127', 'a120', 'a222', 'a220', 'a225', 'a64', 'a237']
['a185', 'a189', 'a180', 'a182', 'a187', 'a188', 'a186', 'a147', 'a163', 'a53']
['a203', 'a200', 'a202', 'a206', 'a14', 'a18', 'a123', 'a212', 'a215', 'a179']
['a19', 'a81', 'a12', 'a11', 'a148', 'a149', 'a143', 'a145', 'a17', 'a79']
['a91', 'a94', 'a93', 'a66', 'a97', 'a50', 'a56', 'a156', 'a154', 'a142']
['a29', 'a22', 'a26', 'a28', 'a25', 'a92', 'a99', 'a44', 'a32', 'a121']
['a210', 'a211', 'a216', 'a218', 'a38', 'a30', 'a36', 'a205', 'a199', 'a46']
['a169', 'a168', 'a161', 'a165', 'a231', 'a232', 'a235', 'a234', 'a191', 'a153']
['a226', 'a221', 'a227', 'a224', 'a134', 'a130', 'a119', 'a114', 'a158', 'a102']
['a207', 'a98', 'a72', 'a71', 'a78', 'a5', 'a8', 'a2', 'a60', 'a21']
['a152', 'a150', 'a155', 'a159', 'a204', 'a201', 'a16', 'a55', 'a0', 'a244']
['a157', 'a151', 'a42', 'a43', 'a40', 'a41', 'a80', 'a82', 'a89', 'a113']
['a194', 'a62', 'a192', 'a90', 'a27', 'a24', 'a23', 'a54', 'a195', 'a223']
['a100', 'a106', 'a103', 'a109', 'a173', 'a170', 'a172', 'a171', 'a236', 'a45']
['a70', 'a77', 'a73', 'a76', 'a230', 'a239', 'a164', 'a166', 'a160', 'a162']
['a7', 'a1', 'a6', 'a9', 'a4', 'a175', 'a176', 'a233', 'a209', 'a217']
['a140', 'a141', 'a146', 'a144', 'a183', 'a181', 'a104', 'a229', 'a228', 'a31']
['a243', 'a246', 'a240', 'a247', 'a49', 'a47', 'a48', 'a129', 'a128', 'a125']
['a132', 'a133', 'a138', 'a131', 'a139', 'a112', 'a111', 'a117', 'a15', 'a245']
['a37', 'a34', 'a39', 'a33', 'a35', 'a198', 'a107', 'a105', 'a58', 'a101']
['a116', 'a115', 'a110', 'a118', 'a214', 'a219', 'a213', 'a178', 'a167', 'a184']
['a242', 'a249', 'a248', 'a52', 'a57', 'a51', 'a59', 'a108', 'a135', 'a137']
