['30', '490', '499', '27', '297', '34', '197', '498']
['3', '6', '367', '236', '466', '5', '71', '203']
['24', '484', '158', '224', '418', '125', '20', '423']
['16', '18', '415', '443', '410', '448', '150', '377']
['9', '408', '375', '11', '436', '44', '176', '309']
['26', '359', '420', '458', '321', '160', '293', '392']
['21', '188', '17', '155', '25', '56', '486', '349']
['4', '204', '365', '8', '398', '370', '237', '304']
['12', '378', '444', '340', '406', '245', '15', '146']
['28', '394', '488', '328', '195', '96', '228', '323']
['7', '439', '368', '434', '335', '141', '207', '467']
['10', '45', '177', '338', '475', '310', '277', '210']
['13', '412', '213', '478', '48', '379', '473', '346']
['19', '120', '186', '479', '451', '380', '54', '153']
['22', '57', '317', '383', '487', '421', '156', '449']
['29', '390', '456', '494', '296', '97', '428', '324']
['14', '214', '441', '247', '281', '474', '82', '347']
['23', '318', '124', '190', '483', '384', '351', '389']
['134', '131', '169', '66', '495', '130', '497', '268']
['35', '70', '38', '330', '396', '32', '31', '462']
['101', '99', '104', '33', '105', '98', '334', '235']
['68', '64', '363', '301', '136', '500', '202', '65']
['200', '400', '132', '433', '165', '198', '196', '41']
['167', '171', '163', '164', '170', '126', '129', '123']
['269', '337', '266', '273', '135', '69', '201', '2']
['493', '491', '496', '326', '260', '425', '489', '184']
['376', '81', '373', '477', '372', '275', '143', '374']
['432', '430', '435', '137', '329', '395', '230', '362']
['391', '290', '257', '191', '63', '393', '356', '492']
['409', '114', '405', '411', '407', '209', '308', '341']
['333', '331', '336', '263', '401', '108', '106', '112']
['348', '345', '148', '344', '115', '416', '53', '280']
['460', '457', '227', '463', '464', '180', '145', '178']
['238', '240', '471', '242', '438', '339', '234', '241']
['314', '311', '316', '147', '279', '382', '312', '246']
['320', '219', '285', '322', '388', '252', '355', '87']
['272', '138', '276', '274', '39', '270', '307', '472']
['426', '461', '358', '292', '422', '259', '193', '325']
['465', '468', '469', '452', '283', '149', '215', '173']
['427', '431', '194', '424', '429', '46', '42', '103']
['288', '55', '455', '253', '154', '220', '286', '88']
['284', '117', '249', '385', '319', '51', '287', '352']
['291', '295', '294', '256', '289', '157', '58', '91']
['386', '454', '239', '243', '60', '211', '168', '166']
['271', '267', '306', '366', '118', '122', '84', '233']
['481', '413', '446', '248', '485', '189', '192', '133']
['480', '185', '152', '445', '86', '119', '476', '482']
['282', '278', '181', '350', '49', '217', '74', '67']
['470', '109', '303', '175', '142', '369', '43', '76']
['250', '116', '50', '83', '450', '182', '417', '254']
['305', '72', '302', '360', '223', '221', '89', '225']
['442', '440', '447', '244', '77', '111', '107', '1']
['313', '212', '381', '113', '179', '80', '414', '315']
['255', '251', '187', '258', '121', '159', '162', '199']
['332', '37', '264', '231', '75', '78', '73', '79']
['299', '387', '92', '342', '208', '47', '85']
['361', '128', '357', '161', '364', '174', '139', '172']
['262', '62', '95', '265', '144', '140', '52']
['437', '402', '327', '127', '94', '226', '229', '232']
['353', '343', '110', '261', '61', '218', '222', '216']
['354', '59', '459', '453', '93', '90', '205']
['419', '300', '298', '371', '151', '183', '102', '100']
['404', '399', '397', '403', '206', '40', '36']
