['6', '30', '468', '378', '249', '112', '321', '151', '174', '411', '93', '5', '7', '64', '96', '175', '150']
['8', '116', '211', '333', '28', '11', '188', '288', '243', '475', '381', '80', '145', '360', '307', '153', '247']
['473', '45', '75', '480', '470', '495', '471', '478', '487', '24', '490', '97', '482', '82', '281', '300', '136']
['9', '81', '213', '122', '415', '147', '336', '32', '382', '258', '56', '291', '352', '59', '351', '275', '280']
['18', '295', '257', '469', '328', '178', '142', '26', '369', '207', '17', '92', '31', '76', '132', '489', '472']
['10', '12', '159', '398', '125', '463', '107', '40', '238', '270', '205', '306', '98', '104', '101', '274', '183']
['14', '305', '389', '199', '160', '349', '126', '262', '102', '67', '47', '226', '34', '276', '342', '182', '91']
['432', '99', '138', '42', '433', '191', '417', '422', '435', '425', '429', '366', '412', '330', '140', '113', '72', '79']
['21', '292', '20', '380', '365', '41', '185', '326', '110', '219', '289', '255', '15', '269', '299', '339', '338']
['423', '71', '162', '436', '419', '95', '434', '131', '414', '424', '44', '46', '49', '158', '409', '89', '455']
['391', '143', '394', '407', '57', '405', '83', '406', '388', '43', '298', '173', '331', '248', '340', '325', '322']
['377', '156', '78', '135', '193', '384', '376', '372', '371', '481', '483', '461', '442', '163', '155', '230', '447']
['416', '431', '48', '127', '69', '379', '362', '227', '272', '392', '387', '141', '279', '355', '214', '395', '337']
['479', '484', '493', '494', '488', '161', '250', '260', '245', '244', '428', '52', '170', '25', '200', '120', '16']
['13', '128', '386', '303', '224', '273', '354', '164', '195', '393', '390', '399', '402', '84', '50', '208', '426']
['437', '109', '420', '139', '194', '166', '491', '485', '233', '344', '324', '323', '327', '201', '55', '313', '206']
['400', '410', '397', '36', '396', '86', '408', '404', '94', '88', '19', '33', '22', '310', '144', '251', '284']
['350', '348', '358', '356', '347', '343', '346', '181', '184', '179', '180', '301', '146', '85', '212', '246', '373']
['119', '111', '115', '114', '123', '118', '117', '401', '177', '403', '215', '446', '458', '457', '196', '204', '51']
['239', '241', '240', '225', '53', '231', '229', '236', '228', '66', '70', '190', '192', '197', '38', '103', '62']
['315', '308', '312', '60', '320', '304', '357', '345', '29', '341', '63', '467', '476', '486', '474', '77', '68']
['234', '232', '235', '242', '237', '427', '430', '421', '353', '413', '456', '90', '439', '450', '440', '438', '154']
['465', '441', '451', '444', '443', '448', '464', '318', '311', '35', '87', '309', '286', '290', '285', '296', '58']
['367', '361', '363', '385', '137', '370', '167', '202', '100', '210', '264', '266', '267', '277', '271', '265', '459']
['364', '375', '108', '198', '165', '383', '287', '297', '282', '466', '477', '263', '106', '124', '176', '105', '3', '1', '2']
['223', '220', '221', '216', '65', '218', '368', '268', '203', '129', '294', '418', '256', '222', '335', '374', '492']
['168', '172', '171', '169', '445', '453', '454', '452', '449', '460', '54', '462', '278', '259', '252', '254', '0']
['134', '133', '130', '39', '283', '261', '186', '37', '27', '152', '149', '148', '187', '189', '329', '332', '23']
['302', '317', '319', '316', '314', '73', '334', '209', '253', '74', '217', '121', '293', '157', '359', '61', '4']
