['372', '223', '307', '64', '373', '174', '349', '274', '19', '368']
['280', '66', '415', '413', '51', '233', '474', '111', '22', '85']
['122', '183', '483', '123', '331', '158', '256', '239', '429', '1']
['87', '310', '403', '218', '297', '394', '419', '305', '490', '82']
['227', '143', '146', '290', '60', '473', '100', '296', '430', '243']
['409', '92', '357', '499', '56', '32', '463', '245', '53', '433']
['141', '412', '293', '63', '489', '440', '481', '294', '17', '52']
['206', '416', '380', '370', '204', '458', '180', '134', '230', '110']
['328', '443', '461', '333', '182', '258', '436', '249', '59', '492']
['88', '198', '238', '358', '71', '171', '215', '228', '159', '226']
['142', '83', '434', '432', '321', '118', '167', '229', '327', '299']
['451', '177', '213', '16', '270', '376', '485', '45', '456', '317']
['73', '155', '91', '241', '150', '462', '392', '47', '43', '336']
['96', '326', '476', '225', '354', '496', '393', '435', '252', '449']
['450', '147', '190', '364', '205', '391', '472', '2', '200', '498']
['68', '178', '257', '313', '491', '24', '210', '319', '486', '468']
['453', '269', '278', '291', '101', '383', '242', '279', '54', '114']
['455', '129', '104', '131', '286', '203', '402', '361', '306', '277']
['342', '323', '139', '445', '161', '482', '316', '262', '106', '334']
['65', '325', '26', '81', '382', '454', '46', '363', '192', '469']
['441', '253', '295', '237', '459', '308', '374', '348', '344', '148']
['493', '426', '14', '201', '362', '341', '221', '431', '282', '457']
['175', '95', '244', '314', '34', '121', '259', '351', '452', '191']
['389', '119', '194', '400', '84', '214', '165', '448', '264', '107']
['75', '346', '396', '21', '335', '195', '202', '479', '30', '480']
['320', '251', '381', '61', '366', '232', '109', '281', '11', '478']
['234', '169', '353', '144', '97', '94', '145', '8', '285', '211']
['377', '428', '36', '408', '265', '130', '189', '283', '172', '447']
['386', '55', '395', '439', '133', '50', '424', '149', '20', '309']
['38', '3', '156', '93', '49', '137', '495', '404', '33', '465']
['176', '390', '37', '288', '378', '460', '42', '387', '487', '268']
['470', '298', '318', '78', '273', '301', '35', '339', '29', '69']
['116', '405', '379', '414', '488', '9', '157', '369', '240', '219']
['28', '27', '163', '151', '152', '398', '235', '113', '360', '292']
['44', '105', '302', '284', '181', '266', '0', '343', '417', '345']
['102', '25', '401', '160', '67', '406', '271', '13', '289', '246']
['248', '138', '494', '12', '216', '272', '352', '247', '407', '224']
['255', '31', '166', '108', '115', '427', '250', '188', '442', '397']
['477', '193', '375', '125', '365', '312', '466', '80', '72', '340']
['90', '10', '77', '311', '411', '103', '185', '57', '222', '367']
['484', '98', '199', '329', '39', '446', '18', '136', '315', '41']
['186', '422', '385', '350', '99', '4', '5', '410', '437', '184']
['324', '164', '220', '76', '140', '384', '217', '58', '120', '388']
['170', '332', '263', '6', '124', '196', '275', '300', '74', '471']
['421', '168', '236', '423', '209', '444', '128', '267', '15', '464']
['187', '260', '337', '7', '112', '497', '40', '425', '127', '153']
['117', '62', '208', '322', '338', '70', '303', '89', '356', '330']
['261', '212', '347', '304', '418', '48', '420', '231', '287', '371']
['276', '207', '135', '359', '132', '467', '355', '86', '438', '475']
['162', '197', '179', '79', '254', '126', '154', '399', '173', '23']
