['60', '68', '62', '65', '69', '64', '205', '191', '22', '23']
['220', '224', '225', '221', '229', '227', '101', '115', '327', '103']
['130', '139', '138', '133', '135', '131', '11', '242', '456', '446']
['50', '55', '58', '59', '53', '52', '285', '284', '486']
['460', '461', '468', '466', '469', '464', '451', '406', '54']
['470', '478', '476', '479', '473', '472', '91', '105', '344']
['320', '323', '326', '322', '329', '328', '295', '46', '47']
['190', '197', '192', '193', '199', '195', '471', '374', '278']
['30', '39', '32', '35', '34', '37', '365', '364', '248']
['70', '75', '71', '79', '78', '74', '465', '282', '117']
['160', '168', '162', '163', '165', '169', '355', '202', '203']
['100', '102', '106', '108', '109', '104', '265', '423', '422']
['260', '269', '262', '264', '266', '268', '401', '28', '482', '483']
['280', '283', '287', '286', '289', '281', '475', '474', '408']
['180', '185', '184', '187', '189', '181', '41', '73', '72']
['310', '311', '317', '319', '313', '316', '318', '157', '156']
['210', '214', '211', '219', '215', '217', '77', '76', '293']
['240', '249', '247', '243', '246', '241', '376', '44', '33']
['350', '359', '357', '354', '356', '351', '347', '5', '14']
['290', '299', '294', '292', '296', '297', '462', '463', '252']
['390', '392', '396', '394', '398', '399', '454', '333', '488']
['0', '6', '7', '1', '4', '9', '16', '17', '494']
['250', '251', '253', '258', '259', '256', '237', '96', '97']
['40', '45', '48', '42', '43', '49', '353', '352', '338']
['420', '428', '426', '421', '424', '429', '223', '222', '438']
['450', '455', '453', '459', '457', '452', '94', '56', '57']
['440', '442', '444', '449', '447', '445', '137', '136', '173']
['90', '98', '99', '92', '93', '95', '26', '112', '257']
['270', '277', '271', '273', '279', '276', '477', '132', '82']
['150', '155', '153', '158', '159', '152', '144', '154', '342']
['170', '177', '175', '179', '174', '172', '208', '218', '164']
['410', '412', '417', '414', '415', '419', '36', '147', '146']
['380', '389', '382', '385', '383', '388', '272', '182', '183']
['300', '305', '303', '301', '308', '309', '213', '212', '226']
['200', '204', '207', '209', '206', '201', '427', '134', '2', '3']
['490', '493', '495', '499', '497', '492', '288', '307', '306']
['430', '437', '439', '435', '433', '432', '312', '228', '336']
['230', '232', '239', '233', '236', '238', '384', '302', '498']
['80', '81', '88', '85', '83', '89', '263', '84', '216']
['20', '27', '24', '21', '25', '29', '196', '87', '86']
['360', '369', '361', '363', '368', '366', '467', '124', '114']
['10', '12', '18', '15', '19', '13', '126', '127', '107']
['120', '128', '129', '122', '125', '123', '416', '448', '198']
['110', '116', '111', '113', '119', '118', '63', '8', '298']
['400', '407', '409', '405', '403', '402', '386', '387', '458']
['480', '484', '485', '487', '489', '481', '38', '491', '178']
['140', '143', '141', '145', '149', '148', '436', '397', '378']
['370', '373', '375', '377', '371', '379', '176', '404', '496']
['340', '348', '341', '343', '346', '349', '434', '362', '186']
['330', '337', '332', '335', '334', '339', '167', '166', '372']
['171', '291', '235', '234', '381', '395', '142', '188', '413']
['441', '325', '324', '411', '425', '315', '314', '443', '418']
['391', '161', '275', '261', '274', '431', '393', '304', '367']
['121', '51', '331', '345', '245', '244', '231', '267', '194']
['151', '61', '31', '255', '254', '321', '66', '67', '358']
